valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,experiment,map_id,map_group,algorithm,seed,validator_version,scenario_hash
1,1,1,0.1521762009999747,1106.8547682469168,0.0375188512032554,0.0025012567468836,1.0505144764750565,96.66666666666669,,2772,212,2761,32,196,0,fixed,S1,S1,APFMultiRRT,1000,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1052629040000283,1049.147976706284,0.0382233063352533,0.0025482204223502,0.8392935470502181,91.33333333333331,,1528,188,2029,32,124,0,fixed,S1,S1,APFMultiRRT,1001,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1276848769999787,1111.9864547369618,0.0568998187891863,0.0037933212526124,1.0689580265726608,97.0,,2131,218,2409,29,167,0,fixed,S1,S1,APFMultiRRT,1002,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.196657681999909,1066.8685761000172,0.0590979353331425,0.0039398623555428,2.421466852604297,93.66666666666669,,3893,234,3182,37,237,0,fixed,S1,S1,APFMultiRRT,1003,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1933065590000069,1073.5691217404303,0.0341723814494174,0.0022781587632944,0.5615638592675118,93.33333333333331,,3696,217,3081,42,236,0,fixed,S1,S1,APFMultiRRT,1004,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1641970029999129,1069.508784681663,0.0291314447766446,0.0019420963184429,0.6281975624855782,93.33333333333331,,2651,209,2729,37,191,0,fixed,S1,S1,APFMultiRRT,1005,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1418574259998877,1090.4543546021453,0.0316694274710717,0.0021112951647381,1.3574977162723272,94.0,,1813,197,2324,39,141,0,fixed,S1,S1,APFMultiRRT,1006,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1462029760000405,1076.6556143665766,0.0364273843232376,0.0024284922882158,0.9222160242863016,94.0,,1873,189,2487,40,153,0,fixed,S1,S1,APFMultiRRT,1007,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.2272548539999661,1093.6357562620085,0.0277022429489473,0.0018468161965964,5.170860665899893,93.66666666666669,,3926,232,3076,31,266,0,fixed,S1,S1,APFMultiRRT,1008,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1158019430000649,1074.6442393353889,0.0300610425828337,0.0020040695055222,0.6587186500473035,93.0,,1577,173,2160,37,121,0,fixed,S1,S1,APFMultiRRT,1009,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.2518127929999991,1084.1647495188931,0.0276177501672747,0.0018411833444849,1.0982457766623828,93.66666666666669,,4173,251,4263,37,361,0,fixed,S1,S1,APFMultiRRT,1010,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.185381823000057,1108.070169848609,0.0443130056990909,0.0029542003799393,2.35877203687212,96.33333333333331,,2310,196,2533,43,162,0,fixed,S1,S1,APFMultiRRT,1011,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1377066759999934,1036.601282063688,0.0265371538963019,0.0017691435930867,2.643342299543953,89.0,,2118,195,2383,32,166,0,fixed,S1,S1,APFMultiRRT,1012,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1685120500000039,1115.9399725271303,0.0200641795331699,0.0013376119688779,3.0117779406218155,96.33333333333331,,2274,193,2387,32,158,0,fixed,S1,S1,APFMultiRRT,1013,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1115553219999583,1075.3661439660248,0.0288264471835187,0.0019217631455679,0.744673659732829,92.66666666666669,,1563,182,2192,35,127,0,fixed,S1,S1,APFMultiRRT,1014,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.2508696509999026,1123.5676868899848,0.0252965792187733,0.0016864386145848,5.797006821977462,97.0,,5086,243,3868,34,342,0,fixed,S1,S1,APFMultiRRT,1015,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1937096769999016,1076.3302455231417,0.0360974924880845,0.0024064994992056,3.687936454276304,93.66666666666669,,2434,205,2737,35,178,0,fixed,S1,S1,APFMultiRRT,1016,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1163362170002528,1056.9590953990207,0.0381324779775843,0.0025421651985056,1.222036123505303,92.33333333333331,,1701,170,2156,35,133,0,fixed,S1,S1,APFMultiRRT,1017,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.2559733150000056,1145.85465974477,0.0330056237147329,0.0022003749143155,2.441047960077908,99.33333333333331,,4420,272,3846,36,288,0,fixed,S1,S1,APFMultiRRT,1018,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1263161449999188,1086.7415047520658,0.0365784069414548,0.0024385604627636,4.54781786815272,93.33333333333331,,2510,174,2383,37,166,0,fixed,S1,S1,APFMultiRRT,1019,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0653152149998277,1270.8174945585197,0.066306100742791,0.004420406716186,0.7131294185492578,112.33333333333331,,417,171,1270,36,0,0,fixed,S1,S1,MultiRRT,1000,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0337414099999477,1096.726558504395,0.0337646994576776,0.0022509799638451,1.9400819309469317,94.66666666666669,,490,177,916,28,0,0,fixed,S1,S1,MultiRRT,1001,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0311931669998557,,,,,,no_path,621,242,579,8,0,0,fixed,S1,S1,MultiRRT,1002,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
