valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,map_id,krep,seed,validator_version,scenario_hash
0,0,0,1.2322373059998881,,,,,,iteration_budget,4401,254,9947,21,8749,5384,S2,0.25,21000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.726460502000009,1025.5152561641532,0.03141082349114613,0.0020940548994097417,0.3127783306164531,89.0,,2324,204,7068,36,5703,3428,S2,0.25,21001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
0,0,0,1.1999441150001076,,,,,,iteration_budget,4014,236,10204,23,8793,5264,S2,0.25,21002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7469320479999624,1061.4001235186508,0.028731517680674917,0.0019154345120449947,2.655745212021845,92.0,,1710,176,6271,33,5081,3016,S2,0.25,21003,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7842915759999869,1018.8569094664831,0.03058663961662793,0.0020391093077751954,2.709008987853508,88.66666666666667,,2370,214,6947,34,5476,3416,S2,0.65,21000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
0,0,0,1.0493733850000808,,,,,,iteration_budget,4374,247,8684,21,8042,4960,S2,0.65,21001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.8954420430000027,1084.6796794384668,0.024354446435343194,0.0016236297623562124,1.2247992729195918,94.0,,2913,224,7960,39,6579,3948,S2,0.65,21002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6042974209999556,1026.4618044297217,0.045131522266877715,0.0030087681511251807,0.7977195035724662,90.66666666666667,,1329,173,5669,29,4494,2780,S2,0.65,21003,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6853641449997667,1036.2605696988307,0.02965496652014317,0.0019769977680095447,1.9882730425188466,90.0,,1803,200,6524,32,5333,3272,S2,1.05,21000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.8427346239998315,1033.8535655422172,0.0248747323687237,0.0016583154912482466,0.6240521479778103,89.33333333333333,,2853,199,7646,35,6539,3964,S2,1.05,21001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7825055079997583,1120.2994787895668,0.02748520057782557,0.0018323467051883716,1.632303179480994,97.33333333333333,,2704,209,7288,32,5896,3584,S2,1.05,21002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.48544434799987357,1002.6856296421337,0.02448559613913501,0.0016323730759423341,0.5487218643082912,87.0,,858,137,4774,32,3601,2120,S2,1.05,21003,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
