valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,map_id,w_turn,w_risk,seed,validator_version,scenario_hash
1,1,1,0.7327504359998329,1014.9812188105583,0.024927864469117867,0.0016618576312745247,2.8916714268104737,87.33333333333333,,1308,172,6590,33,5564,3160,S2,0.25,0.4,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7628139230002944,1034.936681152154,0.041719239125971835,0.0027812826083981218,0.5674614130159767,90.33333333333333,,1614,181,6918,33,5714,3280,S2,0.25,0.4,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7254029609998724,1016.4894717213401,0.030395063426096842,0.0020263375617397892,0.7684800223725716,87.66666666666667,,1848,174,6539,31,5536,3228,S2,0.25,0.4,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6415218239997103,1144.8468425979145,0.04350809694860391,0.002900539796573594,1.5694184969336042,101.33333333333333,,1927,182,6007,37,4708,2972,S2,0.25,0.9,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7473025010001493,1075.005033285238,0.02539485050220308,0.001692990033480205,2.00995250667013,92.0,,1728,170,6417,32,5033,3000,S2,0.25,0.9,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6120351400002164,1026.3965378428463,0.02265614801421331,0.0015104098676142206,0.18290623744633017,88.33333333333333,,1152,156,5258,34,4108,2444,S2,0.25,0.9,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.8925471760001074,1058.5412025395,0.0261080525978955,0.0017405368398597,2.2790081634211123,91.33333333333333,,2439,216,7497,38,6137,3784,S2,0.25,1.4,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7515529389997937,1074.64337194707,0.029131964153833127,0.0019421309435888748,2.2790081634211123,92.33333333333333,,2286,209,6976,33,5616,3496,S2,0.25,1.4,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.9129926949999572,1038.1052815904875,0.02207922096959661,0.001471948064639774,1.3230093082343206,90.0,,3006,207,8635,44,7006,4352,S2,0.25,1.4,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7355047299995476,1049.3631703273497,0.02710751580701101,0.0018071677204674005,0.7051178272797998,91.0,,1972,196,7000,32,5742,3420,S2,0.55,0.4,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.5914029339999161,1033.104395516764,0.019740303362208875,0.0013160202241472585,0.30664565982717207,89.66666666666667,,1242,166,5793,34,4689,2760,S2,0.55,0.4,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.5932332099998803,1029.9756958925138,0.03015862237421124,0.0020105748249474157,1.0303844723693825,89.33333333333333,,1883,167,5774,33,4742,2832,S2,0.55,0.4,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7832012659998782,1068.4903640961236,0.03748309439852405,0.002498872959901603,2.2790081634211123,93.33333333333333,,3590,215,8096,36,5659,3420,S2,0.55,0.9,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6886632489997737,1021.2373061912944,0.02452471737370494,0.0016349811582469953,1.699011609899518,89.0,,2103,190,6647,37,5506,3412,S2,0.55,0.9,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.5614656850000301,1038.237583208882,0.026596504750380404,0.001773100316692027,2.4410307584285214,90.0,,1275,160,5602,34,4452,2620,S2,0.55,0.9,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.5892972439999085,1060.519039594856,0.03844401572270221,0.002562934381513481,2.05298585303683,91.66666666666667,,1731,174,6041,42,4495,2776,S2,0.55,1.4,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.531793382999922,1028.5689416307093,0.025194223370164446,0.0016796148913442966,2.2790081634211123,88.33333333333333,,1477,165,5359,30,4146,2544,S2,0.55,1.4,19001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.598167335999733,1030.4728424520906,0.02689929447226791,0.001793286298151194,0.4396027101739417,88.66666666666667,,1350,174,5839,37,4625,2780,S2,0.55,1.4,19002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.5722890759998336,1050.632219723039,0.04170295084865125,0.0027801967232434165,1.1597262059323672,90.66666666666667,,1368,168,5625,38,4403,2632,S2,0.9,0.4,19000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
