map,algorithm,n,nvalid,success_rate,median_length,length_ci_low,length_ci_high,median_runtime,median_turning,median_clearance
S1,APFMultiRRT,20,20,1.0,1080.4101819427349,1074.1066805379096,1100.2452622544627,0.1581866019999438,0.03358900258207515,1.289766919888815
S1,MultiRRT,20,11,0.55,1096.726558504395,1078.6400683193212,1174.7516670737923,0.031016745499925898,0.0400148085917564,1.689383646481165
S1,RALMultiRRT,20,20,1.0,1075.2364363606034,1069.11085898025,1084.9340436434766,0.6434791720000135,0.0361362462515605,1.87168641306834
S1,RRTStar,20,10,0.5,1089.8097973474023,1064.1394433361984,1154.1127023610404,0.0381139510000139,0.032359985671053346,1.388700390919002
S1,RRTStarSmart,20,11,0.55,1099.841817045242,1064.1394433361984,1162.9270225592438,0.045472214500080044,0.0323222679616466,1.7337083170416925
S2,APFMultiRRT,20,19,0.95,1054.865605891143,1044.7976006380277,1064.2775443855835,0.13987274099997643,0.0333408372511211,1.829421115547737
S2,MultiRRT,20,13,0.65,1106.0345872905953,1075.386303791298,1146.9511697474306,0.03760123700004665,0.0366269905950236,1.310873174311359
S2,RALMultiRRT,20,20,1.0,1040.1233186735658,1029.8308970800895,1049.5922274480836,0.7448470304999546,0.02967695043533695,1.923877846117655
S2,RRTStar,20,13,0.65,1109.2644973477957,1069.7719111635097,1164.410641495774,0.0497081904999845,0.0316153726559718,1.3107650978036671
S2,RRTStarSmart,20,13,0.65,1109.2644973477957,1065.452044118632,1164.410641495774,0.0520918035001045,0.029224183892873,1.3107650978036671
S3,APFMultiRRT,20,15,0.75,772.674544618781,769.100696813673,778.7482038154458,0.36326050650001207,0.0186845195819966,2.0666678194723325
S3,MultiRRT,20,5,0.25,785.7820591088524,769.2040440168124,880.6888219415423,0.01748552599997305,0.0222399985376553,0.5798895845432241
S3,RALMultiRRT,20,18,0.9,793.8119817345829,779.4041483480146,800.55800589497,0.9503109045000429,0.0282310643985279,1.6879357877109094
S3,RRTStar,20,5,0.25,778.6379232975319,762.8024960095671,868.5398523121203,0.024096712500067903,0.0205140528030793,1.1247221635393458
S3,RRTStarSmart,20,5,0.25,778.6379232975319,762.8024960095671,868.5398523121203,0.02331187850006695,0.0205140528030793,1.1247221635393458
S4,APFMultiRRT,20,20,1.0,968.2436257934552,958.3315135776431,979.114788125,0.0467031065000469,0.0200105163847045,0.8589582068694028
S4,MultiRRT,20,20,1.0,1011.8151880485042,988.365804182374,1046.426754987798,0.0142407754999567,0.031138673670267902,1.211202530533214
S4,RALMultiRRT,20,20,1.0,955.8009735912516,947.5195581861584,963.428170538065,0.3100926289999961,0.020374590803572852,1.1756560759526522
S4,RRTStar,20,20,1.0,1019.0452770190129,979.9064689493446,1038.8066126884833,0.0191125569999712,0.0285384759303168,1.8197309051562556
S4,RRTStarSmart,20,20,1.0,1014.0056734989791,979.8981144357558,1033.2388496131325,0.0185165785000549,0.02753280426596425,2.2767056464349054
