map_group,algorithm,attempts,valid,success_rate,median_length,iqr_length,median_turning,median_clearance,median_runtime,median_collision_checks
S1,APFMultiRRT,20.0,20.0,1.0,1080.4101819427349,34.60458117160147,0.03358900258207515,1.289766919888815,0.1581866019999438,2510.0
S1,MultiRRT,20.0,11.0,0.55,1096.726558504395,82.9766657149678,0.0400148085917564,1.689383646481165,0.031016745499925898,871.5
S1,RALMultiRRT,20.0,20.0,1.0,1075.2364363606034,19.308385022170796,0.0361362462515605,1.87168641306834,0.6434791720000135,6407.0
S1,RRTStar,20.0,10.0,0.5,1089.8097973474023,58.32354952826995,0.032359985671053346,1.388700390919002,0.0381139510000139,998.5
S1,RRTStarSmart,20.0,11.0,0.55,1099.841817045242,74.36681202333057,0.0323222679616466,1.7337083170416925,0.045472214500080044,1215.0
S2,APFMultiRRT,20.0,19.0,0.95,1054.865605891143,32.05523084591732,0.0333408372511211,1.829421115547737,0.13987274099997643,2256.5
S2,MultiRRT,20.0,13.0,0.65,1106.0345872905953,71.56486595613273,0.0366269905950236,1.310873174311359,0.03760123700004665,840.0
S2,RALMultiRRT,20.0,20.0,1.0,1040.1233186735658,22.729212584688412,0.02967695043533695,1.923877846117655,0.7448470304999546,6651.0
S2,RRTStar,20.0,13.0,0.65,1109.2644973477957,94.63873033226423,0.0316153726559718,1.3107650978036671,0.0497081904999845,977.5
S2,RRTStarSmart,20.0,13.0,0.65,1109.2644973477957,98.95859737714181,0.029224183892873,1.3107650978036671,0.0520918035001045,1187.5
S3,APFMultiRRT,20.0,15.0,0.75,772.674544618781,9.70119122467645,0.0186845195819966,2.0666678194723325,0.36326050650001207,6343.0
S3,MultiRRT,20.0,5.0,0.25,785.7820591088524,22.22764097272193,0.0222399985376553,0.5798895845432241,0.01748552599997305,402.0
S3,RALMultiRRT,20.0,18.0,0.9,793.8119817345829,24.740719746934246,0.0282310643985279,1.6879357877109094,0.9503109045000429,8926.5
S3,RRTStar,20.0,5.0,0.25,778.6379232975319,35.06738917722919,0.0205140528030793,1.1247221635393458,0.024096712500067903,468.0
S3,RRTStarSmart,20.0,5.0,0.25,778.6379232975319,35.06738917722919,0.0205140528030793,1.1247221635393458,0.02331187850006695,539.5
S4,APFMultiRRT,20.0,20.0,1.0,968.2436257934552,28.10331746577424,0.0200105163847045,0.8589582068694028,0.0467031065000469,1571.0
S4,MultiRRT,20.0,20.0,1.0,1011.8151880485042,72.82925829100407,0.031138673670267902,1.211202530533214,0.0142407754999567,800.5
S4,RALMultiRRT,20.0,20.0,1.0,955.8009735912516,17.105195391090433,0.020374590803572852,1.1756560759526522,0.3100926289999961,5037.0
S4,RRTStar,20.0,20.0,1.0,1019.0452770190129,68.81973311446552,0.0285384759303168,1.8197309051562556,0.0191125569999712,953.5
S4,RRTStarSmart,20.0,20.0,1.0,1014.0056734989791,63.41152335544973,0.02753280426596425,2.2767056464349054,0.0185165785000549,1157.5
