map,M,H,attempts,valid,success_rate,median_length,median_runtime,median_turning,median_clearance
S1,1,1,3,3,1.0,1061.918048078797,0.1708676700000069,0.0367218414909748,1.4317803243452492
S1,2,2,3,3,1.0,1059.026890822014,0.4591879409997546,0.0290760121020776,2.2013014239289106
S1,4,2,3,2,0.6666666666666666,1085.5544660661462,0.6332079199999043,0.03830229244356205,2.139551737743462
S1,8,3,3,2,0.6666666666666666,1071.10625053871,1.4821352929998284,0.04407420744129155,0.6696509316227486
S1,12,3,3,0,0.0,,2.2878273339997577,,
S2,1,1,3,3,1.0,1038.468603113138,0.192260774000033,0.0305634207230013,2.420155173264746
S2,2,2,3,3,1.0,1012.336204408372,0.4946666240002741,0.0230800840245954,0.9727089021221982
S2,4,2,3,3,1.0,1032.2841777722804,0.6969835130000774,0.0284170682370185,2.2790081634211123
S2,8,3,3,3,1.0,1022.3323193503549,1.6894367560000774,0.0228982685726598,1.0027861481581173
S2,12,3,3,0,0.0,,3.297227143999862,,
