map_group,algorithm,attempts,valid,success_rate,median_length,iqr_length,median_turning,median_clearance,median_runtime,median_collision_checks
D1,MultiRRT,15.0,15.0,1.0,986.3531533036931,38.23746884881291,0.0113003250805837,3.071073184830091,0.0107158020000497,699.0
D1,RRTStar,15.0,15.0,1.0,986.3531533036931,21.76428809931815,0.0141871239785872,2.9086418034981545,0.0131371729994498,784.0
D1,RRTStarSmart,15.0,15.0,1.0,986.3531533036931,21.76428809931815,0.0141871239785872,2.9086418034981545,0.0150875129997984,971.0
D1,APFMultiRRT,15.0,15.0,1.0,999.8618802866372,29.18775917270898,0.0160678733345325,1.620680603045777,0.048454331999892,1614.0
D1,RALMultiRRT,15.0,15.0,1.0,990.5478800911222,24.31752343621656,0.0166413963198664,2.121915689128528,0.3646391490001406,6339.0
D2,MultiRRT,15.0,13.0,0.8666666666666667,1051.7985282346974,46.87245996581032,0.0247833537313036,1.5275911076727908,0.0208844290000342,801.0
D2,RRTStar,15.0,13.0,0.8666666666666667,1032.6705817493769,45.38171055932435,0.0197410178465819,1.567521161193369,0.0266374000002542,923.0
D2,RRTStarSmart,15.0,13.0,0.8666666666666667,1032.6705817493769,45.38171055932435,0.0197410178465819,1.567521161193369,0.0290194229999087,1075.0
D2,APFMultiRRT,15.0,15.0,1.0,1016.165585205662,58.89392020134119,0.0210025073527095,1.3872782041613618,0.0763885410001421,1743.0
D2,RALMultiRRT,15.0,15.0,1.0,1002.2213520079534,37.20366688002014,0.0217626643814156,0.9544817845639848,0.4826197380000394,5933.0
D3,MultiRRT,15.0,11.0,0.7333333333333333,1058.413208229074,70.89295277166366,0.0366672791991062,1.0676533218995772,0.0340618440002344,921.0
D3,RRTStar,15.0,10.0,0.6666666666666666,1051.5856191011526,72.1787117932106,0.030795977753105802,1.0414607594855054,0.0391007380003429,1048.0
D3,RRTStarSmart,15.0,11.0,0.7333333333333333,1055.509898924459,65.02705036402767,0.0287542560061193,0.9237923842962504,0.0479813280003327,1224.0
D3,APFMultiRRT,15.0,15.0,1.0,1003.577087073777,29.90885778301731,0.0287076367414423,0.8509790992329371,0.0944307509996633,1658.0
D3,RALMultiRRT,15.0,15.0,1.0,992.4659837140038,16.905171248363786,0.0213805211085362,0.6670691442187753,0.5302888999999595,5525.0
Narrow,MultiRRT,15.0,4.0,0.26666666666666666,1125.4371861542409,16.405593241820952,0.017161365421228453,1.175949097509367,0.0146250869997857,605.0
Narrow,RRTStar,15.0,4.0,0.26666666666666666,1122.6397885344336,22.26968709614539,0.0227758205792084,1.3241441211242337,0.021940461999975,808.0
Narrow,RRTStarSmart,15.0,4.0,0.26666666666666666,1122.4660769753693,22.9000068692892,0.02054485618604665,1.3241441211242337,0.021192535999944,919.0
Narrow,APFMultiRRT,15.0,1.0,0.06666666666666667,1114.7382601709771,0.0,0.0209326402862016,1.009128295251685,0.2975715850002416,7696.0
Narrow,RALMultiRRT,15.0,9.0,0.6,1124.415019177557,20.5943720934024,0.0186664630878941,1.3528493019263692,1.0899667259998296,17990.0
