file,map_id,algorithm,seed,validator_version,exact_valid,reason
S1__APFMultiRRT__seed1000.json,S1,APFMultiRRT,1000,exact_geometry_v2,1,
S1__MultiRRT__seed1000.json,S1,MultiRRT,1000,exact_geometry_v2,1,
S1__RALMultiRRT__seed1000.json,S1,RALMultiRRT,1000,exact_geometry_v2,1,
S1__RRTStarSmart__seed1000.json,S1,RRTStarSmart,1000,exact_geometry_v2,1,
S1__RRTStar__seed1000.json,S1,RRTStar,1000,exact_geometry_v2,1,
S2__APFMultiRRT__seed1000.json,S2,APFMultiRRT,1000,exact_geometry_v2,1,
S2__MultiRRT__seed1002.json,S2,MultiRRT,1002,exact_geometry_v2,1,
S2__RALMultiRRT__seed1000.json,S2,RALMultiRRT,1000,exact_geometry_v2,1,
S2__RRTStarSmart__seed1002.json,S2,RRTStarSmart,1002,exact_geometry_v2,1,
S2__RRTStar__seed1002.json,S2,RRTStar,1002,exact_geometry_v2,1,
S3__APFMultiRRT__seed1000.json,S3,APFMultiRRT,1000,exact_geometry_v2,1,
S3__MultiRRT__seed1000.json,S3,MultiRRT,1000,exact_geometry_v2,1,
S3__RALMultiRRT__seed1000.json,S3,RALMultiRRT,1000,exact_geometry_v2,1,
S3__RRTStarSmart__seed1000.json,S3,RRTStarSmart,1000,exact_geometry_v2,1,
S3__RRTStar__seed1000.json,S3,RRTStar,1000,exact_geometry_v2,1,
S4__APFMultiRRT__seed1000.json,S4,APFMultiRRT,1000,exact_geometry_v2,1,
S4__MultiRRT__seed1000.json,S4,MultiRRT,1000,exact_geometry_v2,1,
S4__RALMultiRRT__seed1000.json,S4,RALMultiRRT,1000,exact_geometry_v2,1,
S4__RRTStarSmart__seed1000.json,S4,RRTStarSmart,1000,exact_geometry_v2,1,
S4__RRTStar__seed1000.json,S4,RRTStar,1000,exact_geometry_v2,1,
